date,open,high,low,close,uptrend
2024-12-02 09:30:00,168.0,171.0,168.0,171.0,True
2024-12-04 09:30:00,171.0,174.0,171.0,174.0,True
2024-12-09 11:15:00,174.0,177.0,174.0,177.0,True
2024-12-10 09:30:00,177.0,180.0,177.0,180.0,True
2024-12-10 09:30:00,180.0,183.0,180.0,183.0,True
2024-12-10 09:30:00,183.0,186.0,183.0,186.0,True
2024-12-11 09:30:00,186.0,189.0,186.0,189.0,True
2024-12-11 09:45:00,189.0,192.0,189.0,192.0,True
2024-12-11 12:15:00,192.0,195.0,192.0,195.0,True
2024-12-16 10:30:00,195.0,198.0,195.0,198.0,True
2024-12-17 09:45:00,198.0,201.0,198.0,201.0,True
2024-12-18 14:30:00,198.0,198.0,195.0,195.0,False
2024-12-18 15:30:00,195.0,195.0,192.0,192.0,False
2024-12-20 09:30:00,192.0,192.0,189.0,189.0,False
2024-12-23 11:45:00,192.0,195.0,192.0,195.0,True
2024-12-26 10:45:00,195.0,198.0,195.0,198.0,True
2024-12-30 09:30:00,195.0,195.0,192.0,192.0,False
